GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
whitebox,open.testing.suite.unittest.demo,AddFun,0,14,0,0,0,3,0,3,0,3
whitebox,open.testing.suite.unittest.demo,AddTwoFun,0,7,0,0,0,2,0,2,0,2
whitebox,open.testing.suite.unittest.demo,AddThreeFun,0,16,0,0,0,3,0,2,0,2
whitebox,open.testing.suite.unittest.demo,Calculator,0,7,0,0,0,2,0,2,0,2
whitebox,open.testing.suite.unittest.exam1,Example1,40,0,2,0,7,0,3,0,2,0
whitebox,open.testing.suite.unittest.exam1,Cutstring,47,0,4,0,11,0,5,0,3,0
whitebox,open.testing.suite.unittest.exam1,Addition,18,0,0,0,5,0,3,0,3,0
whitebox,open.testing.suite.unittest.exam2,Sum,26,0,2,0,6,0,3,0,2,0
whitebox,open.testing.suite.unittest.exam2,Example2,35,0,0,0,7,0,2,0,2,0
whitebox,open.testing.suite.unittest.exam2,ReciprocalSum,28,0,2,0,6,0,3,0,2,0
whitebox,open.testing.suite.unittest.exam2,OfsquaresSum,28,0,2,0,6,0,3,0,2,0
whitebox,open.testing.suite.unittest.exam3,Rectangle,18,0,0,0,5,0,2,0,2,0
whitebox,open.testing.suite.unittest.exam3,Example3,31,0,0,0,6,0,2,0,2,0
whitebox,open.testing.suite.unittest.exam3,Circle,20,0,0,0,5,0,2,0,2,0
whitebox,open.testing.suite.unittest.exam4,A1,37,0,6,0,6,0,5,0,2,0
whitebox,open.testing.suite.unittest.exam4,Example4,35,0,0,0,6,0,2,0,2,0
whitebox,open.testing.suite.unittest.exam4,A2,30,0,4,0,6,0,4,0,2,0
whitebox,open.testing.suite.unittest.exam4,A3,35,0,6,0,6,0,5,0,2,0
whitebox,open.testing.suite.whitebox,MoneyCalculate,103,0,20,0,19,0,13,0,3,0
whitebox,open.testing.suite.whitebox,TriangleType,93,0,28,0,17,0,17,0,3,0
whitebox,open.testing.suite.whitebox,GetWeek,153,0,24,0,25,0,18,0,3,0
whitebox,open.testing.suite.whitebox,Example1,29,51,7,11,7,14,7,7,1,4
whitebox,open.testing.suite.whitebox,Exam1,63,0,16,0,14,0,11,0,3,0
